year,sector,firms,estabs,emp,denom,estabs_entry,estabs_entry_rate,estabs_exit,estabs_exit_rate,job_creation,job_creation_births,job_creation_continuers,job_creation_rate_births,job_creation_rate,job_destruction,job_destruction_deaths,job_destruction_continuers,job_destruction_rate_deaths,job_destruction_rate,net_job_creation,net_job_creation_rate,reallocation_rate,firmdeath_firms,firmdeath_estabs,firmdeath_emp,
1978,11,20326,20982,186614,179569,4006,19.234,3697,17.751,56893,20326,36567,11.319,31.683,43244,17353,25891,9.664,24.082,13649,7.601,48.164,2691,2717,12161,3621670
1978,21,19243,24859,708993,710882,4004,16.364,3223,13.172,166291,58323,107968,8.204,23.392,169910,60736,109174,8.544,23.901,-3619,-0.509,46.784,1761,1793,16862,0.07241466
1978,22,5656,11817,656971,641929,914,7.849,570,4.895,81580,19818,61762,3.087,12.709,51893,13416,38477,2.09,8.084,29687,4.625,16.168,211,213,1807,
1978,23,426023,431678,4091918,3818618,91811,22.169,56728,13.698,1334289,420628,913661,11.015,34.942,786575,272937,513638,7.148,20.598,547714,14.343,41.197,43831,43871,189753,
1978,31-33,262262,310077,18305175,17873947,33347,10.868,26858,8.753,2402465,504670,1897795,2.823,13.441,1542228,526448,1015780,2.945,8.628,860237,4.813,17.257,18962,19106,222424,
1978,42,245236,320176,3981333,3850138,39720,12.606,29535,9.374,827131,269885,557246,7.01,21.483,564569,248333,316236,6.45,14.664,262562,6.82,29.327,18654,19057,102434,
1978,44-45,732673,988446,9816501,9499180,134884,13.771,116925,11.938,2069303,808769,1260534,8.514,21.784,1437149,633833,803316,6.673,15.129,632154,6.655,30.258,77251,79088,315352,
1978,48-49,90462,110710,2435720,2346861,18508,16.974,15168,13.91,542784,163997,378787,6.988,23.128,364492,137935,226557,5.877,15.531,178292,7.597,31.062,10822,10872,57665,
1978,51,38543,63081,2161301,2103291,7910,12.719,6126,9.851,374747,83924,290823,3.99,17.817,258207,79688,178519,3.789,12.276,116540,5.541,24.553,3364,3479,31034,
1978,52,145744,233054,4099554,3977997,25047,10.959,16029,7.013,679751,169651,510100,4.265,17.088,434628,138948,295680,3.493,10.926,245123,6.162,21.852,8600,8704,41370,
