year,st,firms,estabs,emp,denom,estabs_entry,estabs_entry_rate,estabs_exit,estabs_exit_rate,job_creation,job_creation_births,job_creation_continuers,job_creation_rate_births,job_creation_rate,job_destruction,job_destruction_deaths,job_destruction_continuers,job_destruction_rate_deaths,job_destruction_rate,net_job_creation,net_job_creation_rate,reallocation_rate,firmdeath_firms,firmdeath_estabs,firmdeath_emp
1978,01,54617,65496,1024183,984996,10229,15.949,7509,11.708,212179,69948,142231,7.101,21.541,134427,51488,82939,5.227,13.647,77752,7.894,27.295,5238,5314,27806
1978,02,7122,8430,108318,108397,1909,23.543,1266,15.613,35656,14804,20852,13.657,32.894,35706,17146,18560,15.818,32.940,-50,-0.046,65.788,828,835,8897
1978,04,40584,48863,702510,658485,9631,20.442,6132,13.015,191367,71849,119518,10.911,29.062,103077,43633,59444,6.626,15.654,88290,13.408,31.307,4288,4377,25515
1978,05,36667,42030,574708,551143,6979,16.979,5126,12.471,116437,41664,74773,7.560,21.126,69213,26154,43059,4.745,12.558,47224,8.568,25.116,3858,3881,17071
1978,06,388224,467291,7328369,6980685,81928,18.063,54489,12.013,1726472,600218,1126254,8.598,24.732,1032276,415396,616880,5.951,14.788,694196,9.945,29.575,37522,38052,218491
1978,08,55950,65225,918817,863928,12544,19.919,8043,12.772,233277,80441,152836,9.311,27.002,123203,50776,72427,5.877,14.261,110074,12.741,28.522,5707,5782,28803
1978,09,56247,64185,1171735,1143093,7834,12.414,5676,8.994,195280,51320,143960,4.490,17.083,138367,42928,95439,3.755,12.105,56913,4.979,24.209,3957,3987,20218
1978,10,9951,11536,221621,217235,1493,13.119,1182,10.386,38307,11066,27241,5.094,17.634,28875,8528,20347,3.926,13.292,9432,4.342,26.584,815,827,4781
1978,11,12728,14609,305258,293535,1907,13.165,1659,11.453,64696,16163,48533,5.506,22.040,42392,16399,25993,5.587,14.442,22304,7.598,28.884,1018,1041,5557
1978,12,165173,197214,2653269,2532081,35717,18.629,24738,12.903,647663,240396,407267,9.494,25.578,404444,172710,231734,6.821,15.973,243219,9.605,31.946,17723,18010,99867
1978,13,82121,100196,1632006,1561122,15644,15.922,11754,11.963,346633,118497,228136,7.591,22.204,204133,79214,124919,5.074,13.076,142500,9.128,26.152,8039,8130,43041
1978,15,15717,18887,280937,271028,2999,16.283,2062,11.195,61140,24458,36682,9.024,22.559,41199,17355,23844,6.403,15.201,19941,7.358,30.402,1325,1345,7250
1978,16,17446,20209,239997,229809,3663,18.736,2346,12.000,58701,22401,36300,9.748,25.543,38563,14251,24312,6.201,16.780,20138,8.763,33.561,1665,1682,7893
1978,17,179096,209702,4049286,3949852,26892,12.981,21807,10.527,704205,213019,491186,5.393,17.829,503933,186010,317923,4.709,12.758,200272,5.070,25.517,14964,15215,86356
1978,18,81353,97919,1786885,1733868,12759,13.229,9820,10.181,302242,90244,211998,5.205,17.432,196675,66302,130373,3.824,11.343,105567,6.089,22.686,6669,6758,34065
1978,19,55848,65377,870988,842358,8496,13.192,6546,10.164,160470,52595,107875,6.244,19.050,102873,37513,65360,4.453,12.213,57597,6.838,24.425,4687,4737,22756
1978,20,46053,53740,710125,688761,7386,13.969,5657,10.699,139644,48313,91331,7.014,20.275,97017,37750,59267,5.481,14.086,42627,6.189,28.171,3997,4038,21634
1978,21,51314,60096,919006,887759,8627,14.580,6779,11.456,181565,59732,121833,6.728,20.452,119606,44319,75287,4.992,13.473,61959,6.979,26.946,4760,4823,21984
1978,22,61280,72748,1170598,1105565,11002,15.440,8022,11.258,280431,88207,192224,7.978,25.365,149806,55463,94343,5.017,13.550,130625,11.815,27.100,5709,5771,28381
1978,23,19760,22570,312809,300942,3313,15.004,2335,10.575,58349,19185,39164,6.375,19.389,34427,12510,21917,4.157,11.440,23922,7.949,22.880,1651,1669,6989
1978,24,60042,71574,1195772,1160830,9439,13.378,7400,10.488,227374,69653,157721,6.000,19.587,157384,60058,97326,5.174,13.558,69990,6.029,27.116,4862,4959,27669
1978,25,95973,111289,2068854,1990800,13042,11.852,10536,9.575,386206,109199,277007,5.485,19.400,229666,90142,139524,4.528,11.536,156540,7.863,23.073,6979,7102,39598
1978,26,127285,152187,2944358,2829685,20388,13.615,15506,10.355,545196,159891,385305,5.650,19.267,316225,136827,179398,4.835,11.175,228971,8.092,22.351,10384,10569,60688
1978,27,67852,79926,1362032,1291848,11028,14.095,7660,9.790,290737,81827,208910,6.334,22.506,150972,59474,91498,4.604,11.687,139765,10.819,23.373,5295,5369,27427
1978,28,35809,41945,603008,579350,6409,15.538,5011,12.149,123976,42599,81377,7.353,21.399,76408,30438,45970,5.254,13.189,47568,8.211,26.377,3509,3533,17159
1978,29,81191,96472,1580237,1519343,13675,14.384,10874,11.438,313711,95978,217733,6.317,20.648,191648,72469,119179,4.770,12.614,122063,8.034,25.228,7432,7572,37478
1978,30,17363,19788,197841,186360,3346,17.368,2300,11.939,51356,17142,34214,9.198,27.557,28252,13356,14896,7.167,15.160,23104,12.398,30.320,1645,1651,7442
1978,31,31303,36131,457297,445776,4597,12.887,3677,10.308,84273,27486,56787,6.166,18.905,61091,23788,37303,5.336,13.704,23182,5.200,27.409,2635,2684,13807
1978,32,14670,16638,287370,264211,3487,21.915,2034,12.783,81171,28230,52941,10.685,30.722,35015,16590,18425,6.279,13.253,46156,17.469,26.505,1416,1429,10529
1978,33,17588,19645,294048,277747,3076,16.122,1944,10.189,63128,24655,38473,8.877,22.729,30925,11622,19303,4.184,11.134,32203,11.594,22.269,1391,1421,6759
1978,34,129457,147273,2420041,2360989,19058,13.111,15237,10.482,453915,137314,316601,5.816,19.226,334920,141306,193614,5.985,14.186,118995,5.040,28.371,10239,10332,66161
1978,35,22369,25897,308750,292220,4810,19.098,3389,13.456,81408,29091,52317,9.955,27.859,48657,22893,25764,7.834,16.651,32751,11.208,33.302,2447,2466,15250
1978,36,313631,354589,5613707,5514706,43247,12.251,40104,11.360,998892,295918,702974,5.366,18.113,797185,315080,482105,5.713,14.456,201707,3.658,28.911,28686,29016,148782
1978,37,88763,107344,1872119,1805643,15553,14.786,11239,10.685,333056,103050,230006,5.707,18.445,199503,71779,127724,3.975,11.049,133553,7.396,22.098,7753,7821,34958
1978,38,13329,15132,157702,150608,2058,13.846,1522,10.240,33167,10550,22617,7.005,22.022,18981,7555,11426,5.016,12.603,14186,9.419,25.206,1091,1097,5062
1978,39,155694,193531,3629101,3529220,23807,12.465,18736,9.810,626462,169404,457058,4.800,17.751,426621,151202,275419,4.284,12.088,199841,5.662,24.177,12247,12444,61886
1978,40,51995,60460,798139,764371,9912,16.707,7650,12.894,181997,69307,112690,9.067,23.810,114836,45902,68934,6.005,15.024,67161,8.786,30.047,5677,5728,28132
1978,41,50120,57978,790193,735791,10520,18.816,6383,11.417,199490,66473,133017,9.034,27.112,91090,38285,52805,5.203,12.380,108400,14.732,24.760,4669,4703,23763
1978,42,177709,212427,3862146,3789539,24888,11.836,20566,9.781,672527,199576,472951,5.266,17.747,530273,213650,316623,5.638,13.993,142254,3.754,27.986,13474,13713,108271
1978,44,18062,20047,323183,312822,2414,12.189,1928,9.735,60226,17993,42233,5.752,19.252,39627,17167,22460,5.488,12.668,20599,6.585,25.335,1375,1382,8114
1978,45,44561,52926,923959,889154,8097,15.662,5641,10.911,168162,56399,111763,6.343,18.913,98992,36619,62373,4.118,11.133,69170,7.779,22.267,3938,3985,16652
1978,46,14249,16001,170161,160446,2288,14.580,1671,10.648,38219,12929,25290,8.058,23.820,18782,7603,11179,4.739,11.706,19437,12.114,23.412,1178,1184,4614
1978,47,67843,80797,1379870,1328056,11983,15.081,9303,11.708,276281,89006,187275,6.702,20.803,171987,71653,100334,5.395,12.950,104294,7.853,25.901,6437,6493,33187
1978,48,226894,278496,4411748,4194914,48418,17.867,33408,12.328,1073118,389323,683795,9.281,25.581,641187,261863,379324,6.242,15.285,431931,10.297,30.570,23326,23673,145449
1978,49,23303,26886,398271,372716,4961,19.128,3061,11.802,105960,40409,65551,10.842,28.429,55453,21385,34068,5.738,14.878,50507,13.551,29.756,2175,2207,12039
1978,50,10901,12090,158409,151942,1873,15.979,1137,9.700,33701,10778,22923,7.094,22.180,21232,10773,10459,7.090,13.974,12469,8.206,27.948,846,854,7974
1978,51,76493,92848,1499219,1444455,13563,14.932,9528,10.490,303738,97469,206269,6.748,21.028,195010,75014,119996,5.193,13.501,108728,7.527,27.001,6308,6403,34618
1978,53,71717,84068,1142839,1077546,14993,18.503,8916,11.003,274633,85541,189092,7.939,25.487,143344,57649,85695,5.350,13.303,131289,12.184,26.606,6251,6325,32915
1978,54,26605,31012,455691,453935,4091,13.314,3523,11.465,74489,23586,50903,5.196,16.410,70595,20912,49683,4.607,15.552,3894,0.858,31.104,2339,2363,10495
1978,55,79030,91350,1550157,1490206,11941,13.351,8113,9.071,272208,77695,194513,5.214,18.266,152804,55895,96909,3.751,10.254,119404,8.013,20.508,5638,5686,30458
1978,56,10488,11710,130719,119626,2308,20.508,1396,12.404,41503,14731,26772,12.314,34.694,19141,8171,10970,6.830,16.001,22362,18.693,32.001,978,990,4525
1979,01,56151,67397,1084069,1055800,9447,14.203,7677,11.542,214628,67701,146927,6.412,20.328,157984,54399,103585,5.152,14.963,56644,5.365,29.927,5562,5623,31515
1979,02,7326,8631,109359,108959,1647,19.287,1464,17.144,26797,9690,17107,8.893,24.594,26196,9441,16755,8.665,24.042,601,0.552,48.084,946,956,5463
1979,04,42610,51467,793483,749468,9007,17.932,6533,13.006,193986,67367,126619,8.989,25.883,106254,40348,65906,5.384,14.177,87732,11.706,28.355,4723,4801,25812
1979,05,37449,42895,598252,586334,6193,14.586,5322,12.534,105606,35836,69770,6.112,18.011,81446,27229,54217,4.644,13.891,24160,4.121,27.781,3987,4024,18585
1979,06,411705,494150,8025377,7689368,81179,16.862,55726,11.575,1762693,583122,1179571,7.583,22.924,1091537,402020,689517,5.228,14.195,671156,8.728,28.391,38557,39038,215946
1979,08,58689,68223,1016630,970348,11664,17.458,8844,13.237,230676,81071,149605,8.355,23.773,137948,54119,83829,5.577,14.216,92728,9.556,28.433,6335,6409,32880
1979,09,58341,66461,1251470,1212321,7629,11.666,5496,8.404,199887,58120,141767,4.794,16.488,121390,42798,78592,3.530,10.013,78497,6.475,20.026,3747,3766,20714
1979,10,10340,11956,230587,226321,1521,12.934,1129,9.600,32946,10638,22308,4.700,14.557,24373,7723,16650,3.412,10.769,8573,3.788,21.538,751,768,3554
1979,11,13078,14994,328939,317453,1856,12.522,1513,10.207,55584,13110,42474,4.130,17.509,32805,12023,20782,3.787,10.334,22779,7.176,20.668,1018,1033,6086
1979,12,175189,208892,2882521,2771925,35570,17.499,24316,11.963,646855,241609,405246,8.716,23.336,424417,171687,252730,6.194,15.311,222438,8.025,30.623,17474,17681,107040
1979,13,84868,103952,1709687,1674180,15151,14.827,11615,11.367,308119,109304,198815,6.529,18.404,237713,79863,157850,4.770,14.199,70406,4.205,28.398,8179,8265,44172
1979,15,16717,20158,303099,293291,3140,16.049,1953,9.982,57427,20606,36821,7.026,19.580,37790,12933,24857,4.410,12.885,19637,6.695,25.770,1342,1362,8052
1979,16,17779,20638,246828,244155,3140,15.361,2748,13.443,48247,18062,30185,7.398,19.761,43103,15755,27348,6.453,17.654,5144,2.107,35.308,2054,2066,9684
1979,17,182457,213783,4230523,4148786,25215,11.894,21643,10.209,705809,212466,493343,5.121,17.012,538294,175456,362838,4.229,12.975,167515,4.038,25.949,14820,15072,81746
1979,18,83654,100798,1893631,1847003,11902,11.961,9314,9.360,290523,82761,207762,4.481,15.729,197614,64621,132993,3.499,10.699,92909,5.030,21.398,6693,6778,35436
1979,19,56769,66541,909920,891783,7711,11.675,6726,10.183,146075,47633,98442,5.341,16.380,109756,38565,71191,4.324,12.307,36319,4.073,24.615,4931,4983,24180
1979,20,47398,55298,760104,736290,7029,12.876,5612,10.280,138811,44363,94448,6.025,18.853,90448,32943,57505,4.474,12.284,48363,6.568,24.569,4017,4066,19806
1979,21,53007,62259,978720,952530,8387,13.691,6386,10.425,175383,59880,115503,6.286,18.412,123416,40739,82677,4.277,12.957,51967,5.456,25.913,4612,4644,22184
1979,22,64295,76345,1243283,1202058,11528,15.460,7974,10.694,260519,88528,171991,7.365,21.673,178153,62816,115337,5.226,14.821,82366,6.852,29.641,5811,5872,36655
1979,23,20363,23307,320217,312887,3026,13.177,2340,10.190,52153,17319,34834,5.535,16.668,37691,11950,25741,3.819,12.046,14462,4.622,24.092,1707,1715,6727
1979,24,62137,74177,1267588,1234157,9473,12.980,7081,9.703,223219,67240,155979,5.448,18.087,156144,54624,101520,4.426,12.652,67075,5.435,25.304,4873,4938,25781
1979,25,98314,114023,2214170,2145003,12643,11.209,10182,9.027,375578,105365,270213,4.912,17.509,238514,76389,162125,3.561,11.120,137064,6.390,22.239,6861,6948,38983
1979,26,131025,156565,3101633,3017852,18721,12.111,14747,9.540,500917,136733,364184,4.531,16.598,331976,100947,231029,3.345,11.000,168941,5.598,22.001,10314,10476,56481
1979,27,70604,83083,1466847,1419331,10440,12.786,7582,9.286,265326,79174,186152,5.578,18.694,170348,52909,117439,3.728,12.002,94978,6.692,24.004,5380,5429,29122
1979,28,37018,43407,622999,613763,6150,14.395,4783,11.195,108602,37583,71019,6.123,17.694,89169,30619,58550,4.989,14.528,19433,3.166,29.057,3426,3454,17483
1979,29,83826,99440,1659649,1623179,13022,13.274,10340,10.540,275878,84645,191233,5.215,16.996,202845,68294,134551,4.207,12.497,73033,4.499,24.994,7335,7422,37806
1979,30,17947,20437,212573,205821,3172,15.752,2571,12.768,44999,17326,27673,8.418,21.863,31675,12203,19472,5.929,15.390,13324,6.474,30.779,1889,1900,8660
1979,31,32375,37273,486787,473188,4448,12.101,3415,9.291,82805,23119,59686,4.886,17.499,55425,19059,36366,4.028,11.713,27380,5.786,23.426,2452,2471,12342
1979,32,15705,17933,333975,313053,3591,20.749,2339,13.515,89409,34402,55007,10.989,28.560,48125,20720,27405,6.619,15.373,41284,13.188,30.746,1680,1689,12334
1979,33,18372,20570,321029,308118,2860,14.205,1988,9.874,60439,17507,42932,5.682,19.616,34732,12667,22065,4.111,11.272,25707,8.343,22.545,1443,1453,6953
1979,34,134142,152402,2556770,2489210,18912,12.606,14152,9.433,450552,132913,317639,5.340,18.100,315518,102856,212662,4.132,12.675,135034,5.425,25.351,9635,9682,47544
1979,35,23036,26699,333756,322489,4296,16.314,3565,13.538,74973,27511,47462,8.531,23.248,52538,21324,31214,6.612,16.291,22435,6.957,32.583,2505,2534,13004
1979,36,318523,360012,5913320,5783485,41593,11.628,36990,10.341,982252,273604,708648,4.731,16.984,721450,247711,473739,4.283,12.474,260802,4.509,24.949,26793,27074,127673
1979,37,92307,111758,1994871,1941212,14767,13.463,10621,9.683,318047,102703,215344,5.291,16.384,210618,69173,141445,3.563,10.850,107429,5.534,21.700,7698,7786,40689
1979,38,13985,15831,171661,165298,2211,14.265,1549,9.994,34734,13644,21090,8.254,21.013,22012,8347,13665,5.050,13.317,12722,7.696,26.633,1110,1114,5624
1979,39,159835,198663,3801199,3721349,22707,11.565,18064,9.200,586293,174351,411942,4.685,15.755,427564,137842,289722,3.704,11.489,158729,4.265,22.979,12053,12279,64500
1979,40,53953,62884,856824,826593,9907,16.066,7471,12.115,181384,66238,115146,8.013,21.944,120266,46792,73474,5.661,14.550,61118,7.394,29.099,5581,5625,29874
1979,41,52449,60663,834348,813924,9741,16.400,7210,12.139,164553,57963,106590,7.121,20.217,123782,46370,77412,5.697,15.208,40771,5.009,30.416,5148,5206,26754
1979,42,182519,218304,4035087,3953529,23972,11.115,18695,8.669,624859,175016,449843,4.427,15.805,462291,145112,317179,3.670,11.693,162568,4.112,23.386,13084,13261,67171
1979,44,18671,20722,341299,332902,2378,11.653,1749,8.570,57044,17604,39440,5.288,17.135,40042,12773,27269,3.837,12.028,17002,5.107,24.056,1244,1258,6832
1979,45,45789,54573,969710,950396,7309,13.582,5789,10.758,149845,45148,104697,4.750,15.767,111400,34181,77219,3.597,11.721,38445,4.045,23.443,4152,4216,19977
1979,46,14827,16690,180689,175867,2224,13.585,1587,9.694,33466,13010,20456,7.398,19.029,23853,8366,15487,4.757,13.563,9613,5.466,27.126,1168,1170,5332
1979,47,69926,83475,1450619,1419880,11691,14.215,9230,11.223,245922,79877,166045,5.626,17.320,184451,64263,120188,4.526,12.991,61471,4.329,25.981,6600,6646,35817
1979,48,237627,292183,4701663,4550057,47451,16.623,33979,11.904,1026713,374519,652194,8.231,22.565,724327,265726,458601,5.840,15.919,302386,6.646,31.838,24847,25166,165620
1979,49,23927,27709,428379,414007,4433,16.218,3683,13.474,94795,34610,60185,8.360,22.897,66389,24801,41588,5.990,16.036,28406,6.861,32.071,2687,2748,14653
1979,50,11367,12617,165840,162106,1727,13.969,1220,9.868,27140,9112,18028,5.621,16.742,19872,6785,13087,4.186,12.259,7268,4.483,24.517,928,931,4550
1979,51,79656,96763,1598231,1550692,12972,13.663,9326,9.823,290737,91213,199524,5.882,18.749,194827,62233,132594,4.013,12.564,95910,6.185,25.128,6616,6683,32475
1979,53,75645,88386,1224894,1174172,13989,16.197,9949,11.520,272219,86159,186060,7.338,23.184,169821,61371,108450,5.227,14.463,102398,8.721,28.926,6934,7019,34898
1979,54,27664,32190,497562,476341,4482,14.168,3373,10.662,97508,24866,72642,5.220,20.470,55255,19002,36253,3.989,11.600,42253,8.870,23.200,2341,2363,10147
1979,55,81746,94541,1625068,1589261,10781,11.583,7855,8.439,243347,69974,173373,4.403,15.312,171620,53580,118040,3.371,10.799,71727,4.513,21.597,5532,5582,26293
1979,56,11072,12405,143147,137304,2159,17.875,1506,12.468,35337,13919,21418,10.137,25.736,23839,8271,15568,6.024,17.362,11498,8.374,34.725,1095,1101,5763
1980,01,55850,67294,1077160,1080339,8563,12.715,8665,12.867,168419,54268,114151,5.023,15.589,174641,54575,120066,5.052,16.165,-6222,-0.576,31.179,6304,6366,33512
1980,02,7320,8650,106436,107902,1454,16.831,1432,16.576,22769,8186,14583,7.587,21.102,25699,9801,15898,9.083,23.817,-2930,-2.715,42.203,967,978,4687
1980,04,44590,53981,819374,807114,9110,17.276,6610,12.535,163934,62958,100976,7.800,20.311,139537,46590,92947,5.772,17.288,24397,3.023,34.577,4777,4844,25990
1980,05,37464,42979,599984,600121,5546,12.915,5475,12.749,94659,31779,62880,5.295,15.773,94858,29277,65581,4.879,15.806,-199,-0.033,31.547,4125,4181,17447
1980,06,424791,510127,8248324,8138353,78225,15.579,62183,12.384,1574651,583207,991444,7.166,19.349,1354554,446405,908149,5.485,16.644,220097,2.704,33.288,44234,44827,251599
1980,08,60547,70425,1051514,1035187,11420,16.473,9217,13.296,204931,75355,129576,7.279,19.797,172409,65119,107290,6.291,16.655,32522,3.142,33.310,6736,6833,39903
1980,09,59189,67569,1284446,1269222,7314,10.911,6244,9.315,179180,54623,124557,4.304,14.117,148574,46487,102087,3.663,11.706,30606,2.411,23.412,4463,4516,20750
1980,10,10385,11995,235861,233228,1328,11.093,1280,10.693,32337,10005,22332,4.290,13.865,27323,7052,20271,3.024,11.715,5014,2.150,23.430,931,957,3857
1980,11,13166,15088,325350,328013,1808,12.045,1652,11.006,54384,16663,37721,5.080,16.580,58454,28381,30073,8.652,17.821,-4070,-1.241,33.160,1126,1142,7013
1980,12,183961,219081,3011215,2946867,36199,16.912,26114,12.201,602124,235260,366864,7.983,20.433,474149,169990,304159,5.769,16.090,127975,4.343,32.180,19417,19664,110116
1980,13,85965,105503,1731193,1722514,13953,13.321,12435,11.872,267843,98417,169426,5.714,15.550,250167,80076,170091,4.649,14.523,17676,1.026,29.047,8849,8952,46320
1980,15,17573,21160,313424,308539,3127,15.142,2109,10.213,54268,21843,32425,7.079,17.589,44732,14139,30593,4.583,14.498,9536,3.091,28.996,1492,1520,8477
1980,16,17840,20745,245916,246310,2955,14.278,2857,13.805,43427,17207,26220,6.986,17.631,43661,15143,28518,6.148,17.726,-234,-0.095,35.262,2108,2134,9946
1980,17,182819,214726,4155260,4191809,23959,11.180,23124,10.790,546523,190194,356329,4.537,13.038,622014,169150,452864,4.035,14.839,-75491,-1.801,26.076,16481,16686,88211
1980,18,83602,101166,1810577,1850919,10911,10.803,10586,10.481,214626,76668,137958,4.142,11.596,295672,67807,227865,3.663,15.974,-81046,-4.379,23.191,7624,7714,35262
1980,19,56702,66786,896872,901866,7165,10.744,6968,10.449,119539,41345,78194,4.584,13.255,129779,36664,93115,4.065,14.390,-10240,-1.135,26.509,5279,5312,23949
1980,20,47635,55637,768520,764485,6326,11.402,6016,10.843,117387,40144,77243,5.251,15.355,109615,30885,78730,4.040,14.338,7772,1.017,28.677,4457,4499,20405
1980,21,52753,62322,954713,965440,7201,11.561,7132,11.450,129930,47541,82389,4.924,13.458,151422,39278,112144,4.068,15.684,-21492,-2.226,26.916,5321,5365,25414
1980,22,65222,77698,1258446,1249766,10415,13.527,9009,11.701,220490,72282,148208,5.784,17.643,202316,59077,143239,4.727,16.188,18174,1.454,32.377,6680,6738,37386
1980,23,20285,23297,321944,320816,2664,11.428,2692,11.548,45602,13919,31683,4.339,14.214,43516,14684,28832,4.577,13.564,2086,0.650,27.128,1925,1943,8682
1980,24,63050,75410,1301810,1285446,8962,11.981,7741,10.349,215452,68052,147400,5.294,16.761,182907,50236,132671,3.908,14.229,32545,2.532,28.458,5398,5472,28785
1980,25,99471,115568,2271114,2242807,12101,10.538,10624,9.252,340150,96060,244090,4.283,15.166,283610,84773,198837,3.780,12.645,56540,2.521,25.291,7376,7476,39970
1980,26,130930,157436,2921880,3022400,17546,11.173,16764,10.675,354052,124492,229560,4.119,11.714,557904,120147,437757,3.975,18.459,-203852,-6.745,23.429,11919,12065,67203
1980,27,71543,84337,1479873,1473083,9416,11.243,8245,9.845,223101,71357,151744,4.844,15.145,209965,62028,147937,4.211,14.253,13136,0.892,28.507,5966,6054,34761
1980,28,37400,43967,613555,618439,5704,13.055,5157,11.803,93148,34412,58736,5.564,15.062,102613,30284,72329,4.897,16.592,-9465,-1.530,30.124,3800,3829,18120
1980,29,83817,99646,1642079,1651442,11546,11.598,11363,11.414,229047,78260,150787,4.739,13.870,247688,71973,175715,4.358,14.998,-18641,-1.129,27.739,8227,8323,38644
1980,30,17980,20484,207984,210315,2713,13.258,2670,13.048,36453,14815,21638,7.044,17.333,41085,13094,27991,6.226,19.535,-4632,-2.202,34.665,1920,1930,8893
1980,31,32391,37407,482381,484535,4108,11.000,3985,10.671,70111,25220,44891,5.205,14.470,74851,20393,54458,4.209,15.448,-4740,-0.978,28.939,2981,3013,12867
1980,32,16347,18768,343059,338318,3399,18.515,2580,14.053,67045,27934,39111,8.257,19.817,57194,19972,37222,5.903,16.905,9851,2.912,33.811,1901,1927,11740
