year,vcnaics4,firms,estabs,emp,denom,estabs_entry,estabs_entry_rate,estabs_exit,estabs_exit_rate,job_creation,job_creation_births,job_creation_continuers,job_creation_rate_births,job_creation_rate,job_destruction,job_destruction_deaths,job_destruction_continuers,job_destruction_rate_deaths,job_destruction_rate,net_job_creation,net_job_creation_rate,reallocation_rate,firmdeath_firms,firmdeath_estabs,firmdeath_emp
1978,1131,197,206,3898,3722,49,24.873,31,15.736,583,276,307,7.415,15.664,261,81,180,2.176,7.012,322,8.651,14.025,24,24,69
1978,1132,82,98,1679,1725,15,15.544,12,12.435,461,39,422,2.262,26.732,577,27,550,1.566,33.459,-116,-6.727,53.465,7,7,15
1978,1133,12084,12202,98431,93874,2382,19.8,2039,16.949,27115,9707,17408,10.34,28.884,17950,7295,10655,7.771,19.121,9165,9.763,38.243,1520,1523,5348
1978,1141,1526,1562,10660,9683,388,25,368,23.711,4563,1860,2703,19.209,47.124,2620,1243,1377,12.837,27.058,1943,20.066,54.115,272,272,761
1978,1142,121,121,520,518,26,21.224,29,23.673,188,101,87,19.498,36.293,190,92,98,17.761,36.68,-2,-0.386,72.587,23,23,81
1978,1151,4164,4598,53931,53635,695,14.846,862,18.413,18172,6239,11933,11.632,33.881,17875,6934,10941,12.928,33.327,297,0.554,66.654,560,582,4500
1978,1152,1565,1584,9831,9444,312,20.058,255,16.393,2700,997,1703,10.557,28.59,1976,1011,965,10.705,20.923,724,7.666,41.847,210,211,796
1978,1153,597,611,7664,6968,139,23.48,101,17.061,3111,1107,2004,15.887,44.647,1784,670,1114,9.615,25.603,1327,19.044,51.206,75,75,591
1978,2111,5268,7019,120376,117396,914,13.095,835,11.964,29980,10260,19720,8.74,25.537,23910,11893,12017,10.131,20.367,6070,5.171,40.734,393,404,1654
1978,2121,3321,4071,187895,203968,908,22.99,665,16.838,35648,13901,21747,6.815,17.477,67445,15060,52385,7.384,33.067,-31797,-15.589,34.955,435,440,5718
1978,2122,475,655,77625,82128,141,21.844,122,18.9,12040,3784,8256,4.607,14.66,20758,10076,10682,12.269,25.275,-8718,-10.615,29.32,60,61,2686
1978,2123,3677,5172,106621,105099,440,8.445,516,9.904,18622,5315,13307,5.057,17.719,15604,5509,10095,5.242,14.847,3018,2.872,29.694,243,246,1651
1978,2131,6824,7942,216476,202292,1601,20.836,1085,14.12,70106,25063,45043,12.39,34.656,42167,18198,23969,8.996,20.845,27939,13.811,41.689,632,642,5153
1978,2211,1464,5481,489160,475811,322,5.944,195,3.599,61450,16191,45259,3.403,12.915,34974,7190,27784,1.511,7.35,26476,5.564,14.701,15,15,205
1978,2212,482,2229,134162,133264,150,6.79,110,4.98,13895,2190,11705,1.643,10.427,12214,3790,8424,2.844,9.165,1681,1.261,18.331,17,17,89
1978,2213,3801,4107,33649,32854,442,10.999,265,6.595,6271,1437,4834,4.374,19.087,4672,2436,2236,7.415,14.22,1599,4.867,28.441,179,181,1513
1978,2361,102225,102567,583416,525466,28602,29.632,16519,17.114,246651,112251,134400,21.362,46.939,130774,63473,67301,12.079,24.887,115877,22.052,49.774,12845,12851,47972
1978,2362,32535,33096,598019,562312,6205,19.514,3608,11.347,177851,39458,138393,7.017,31.629,106941,24845,82096,4.418,19.018,70910,12.61,38.036,2713,2715,16413
1978,2371,13196,13499,376935,362628,1845,13.91,1374,10.359,101556,16345,85211,4.507,28.006,71961,18327,53634,5.054,19.844,29595,8.161,39.689,1016,1019,9525
1978,2372,7469,7638,69158,63995,2047,27.993,1396,19.091,27848,11860,15988,18.533,43.516,17403,8304,9099,12.976,27.194,10445,16.322,54.389,1022,1027,4542
1978,2373,10635,10975,240696,232119,1256,11.531,1091,10.016,62438,10424,52014,4.491,26.899,45170,9539,35631,4.11,19.46,17268,7.439,38.92,803,805,5516
1978,2379,4096,4135,73251,68271,893,22.159,683,16.948,29306,15456,13850,22.639,42.926,19167,4987,14180,7.305,28.075,10139,14.851,56.15,504,504,2774
1978,2381,65341,65759,527677,484098,13690,21.743,8097,12.86,188130,60746,127384,12.548,38.862,101030,36029,65001,7.443,20.87,87100,17.992,41.739,6263,6263,28281
1978,2382,91086,92798,885304,839976,14937,16.584,9475,10.52,233461,59841,173620,7.124,27.794,142490,48125,94365,5.729,16.964,90971,10.83,33.927,7531,7534,31722
1978,2383,69377,69770,499601,461630,15667,23.37,10206,15.224,179219,61240,117979,13.266,38.823,103177,40165,63012,8.701,22.351,76042,16.473,44.701,7885,7887,30151
1978,2389,31307,31441,237861,218125,6669,22.049,4279,14.147,88221,33007,55214,15.132,40.445,48501,19143,29358,8.776,22.235,39720,18.21,44.471,3265,3266,12857
1978,3111,1509,2180,59184,58773,144,6.563,172,7.84,7551,1729,5822,2.942,12.848,6721,2490,4231,4.237,11.436,830,1.412,22.871,89,93,809
1978,3112,561,907,80733,80115,43,4.71,55,6.024,5800,928,4872,1.158,7.24,4524,1383,3141,1.726,5.647,1276,1.593,11.294,32,32,582
1978,3113,1239,1636,96336,97039,176,10.781,169,10.352,11052,1617,9435,1.666,11.389,12816,4003,8813,4.125,13.207,-1764,-1.818,22.778,104,105,717
1978,3114,1362,1890,193381,190762,110,5.755,153,8.004,24909,3981,20928,2.087,13.058,19647,6876,12771,3.605,10.299,5262,2.758,20.598,81,81,2029
1978,3115,2476,3304,156317,156717,133,3.954,253,7.521,15196,2381,12815,1.519,9.696,16121,5862,10259,3.741,10.287,-925,-0.59,19.393,173,178,3055
1978,3116,4800,5465,333928,330057,365,6.556,569,10.221,40276,9323,30953,2.825,12.203,32662,12300,20362,3.727,9.896,7614,2.307,19.792,379,387,5655
1978,3117,653,785,44947,42310,56,7.107,62,7.868,11143,1598,9545,3.777,26.337,5980,2366,3614,5.592,14.134,5163,12.203,28.268,40,40,828
1978,3118,8220,9846,313932,308112,1178,12.035,1063,10.86,44415,12959,31456,4.206,14.415,32570,13957,18613,4.53,10.571,11845,3.844,21.142,738,755,7363
1978,3119,2112,2496,111501,107841,232,9.351,202,8.142,17916,6030,11886,5.592,16.613,10588,3646,6942,3.381,9.818,7328,6.795,19.636,145,145,1642
1978,3121,2361,2990,184959,182202,165,5.471,217,7.195,23262,4530,18732,2.486,12.767,17586,7155,10431,3.927,9.652,5676,3.115,19.304,133,134,2297
1978,3122,148,217,47770,48377,13,5.752,31,13.717,2964,278,2686,0.575,6.127,4010,1200,2810,2.481,8.289,-1046,-2.162,12.254,12,12,119
1978,3131,501,752,129019,129736,53,7.067,49,6.533,9481,1190,8291,0.917,7.308,10909,4185,6724,3.226,8.409,-1428,-1.101,14.616,33,34,697
1978,3132,1845,2306,369654,375621,156,6.692,206,8.837,23129,3777,19352,1.006,6.158,34734,14025,20709,3.734,9.247,-11605,-3.09,12.315,133,133,4513
1978,3133,1549,1793,135557,135289,163,9.132,147,8.235,14484,2678,11806,1.979,10.706,13706,5252,8454,3.882,10.131,778,0.575,20.262,101,101,2039
1978,3141,4564,4843,142167,134993,682,14.364,492,10.362,27528,8470,19058,6.274,20.392,13215,4786,8429,3.545,9.789,14313,10.603,19.579,385,386,2252
1978,3149,3470,3621,149188,146418,461,13.023,299,8.446,25801,7229,18572,4.937,17.621,20407,8363,12044,5.712,13.937,5394,3.684,27.875,214,214,4184
1978,3151,1460,1605,148915,146980,139,8.612,157,9.727,20463,4242,16221,2.886,13.922,16800,6680,10120,4.545,11.43,3663,2.492,22.86,118,120,2977
1978,3152,13394,15258,991236,980797,2088,13.709,2033,13.348,159170,54209,104961,5.527,16.229,138369,62571,75798,6.38,14.108,20801,2.121,28.216,1541,1552,36413
1978,3159,1755,1876,76742,75486,173,9.239,166,8.865,11672,3161,8511,4.188,15.462,9004,2020,6984,2.676,11.928,2668,3.534,23.856,137,137,1506
1978,3161,436,481,23372,23142,43,9.034,33,6.933,2969,636,2333,2.748,12.829,2515,976,1539,4.217,10.868,454,1.962,21.735,18,18,75
1978,3162,552,830,158494,160251,54,6.49,58,6.971,15353,2805,12548,1.75,9.581,19117,5106,14011,3.186,11.929,-3764,-2.349,19.161,29,32,1055
1978,3169,1419,1487,68993,67194,157,10.484,178,11.886,13313,4519,8794,6.725,19.813,9959,4343,5616,6.463,14.821,3354,4.992,29.643,143,143,2380
1978,3211,5627,6216,168012,164106,735,11.828,731,11.764,27100,8491,18609,5.174,16.514,19206,6822,12384,4.157,11.703,7894,4.81,23.407,533,534,4449
1978,3212,1030,1297,98270,95352,190,15.182,99,7.911,12746,3110,9636,3.262,13.367,6916,3173,3743,3.328,7.253,5830,6.114,14.506,58,60,1354
1978,3219,8342,9138,309530,293039,1114,12.343,889,9.85,63977,14473,49504,4.939,21.832,31269,13232,18037,4.515,10.671,32708,11.162,21.341,641,645,6237
1978,3221,367,753,216458,215966,74,10.144,27,3.701,10270,3313,6957,1.534,4.755,9307,2456,6851,1.137,4.309,963,0.446,8.619,6,6,434
1978,3222,3489,5048,401664,395844,414,8.348,236,4.759,40703,8632,32071,2.181,10.283,28587,10219,18368,2.582,7.222,12116,3.061,14.444,136,137,2367
1978,3231,29640,30982,607261,589551,3623,11.891,2598,8.527,88333,19960,68373,3.386,14.983,53051,22544,30507,3.824,8.999,35282,5.985,17.997,1947,1954,11449
1978,3241,1457,2312,359848,362181,201,8.764,164,7.151,23345,4778,18567,1.319,6.446,28404,2645,25759,0.73,7.842,-5059,-1.397,12.891,67,68,905
1978,3251,999,2086,270067,267016,141,6.774,132,6.342,20312,2557,17755,0.958,7.607,14147,4246,9901,1.59,5.298,6165,2.309,10.596,48,48,1372
1978,3252,427,671,167709,166416,54,8.169,34,5.144,12033,2348,9685,1.411,7.231,9553,4521,5032,2.717,5.74,2480,1.49,11.481,12,12,272
1978,3253,773,1178,56177,55942,102,8.644,106,8.983,6271,1489,4782,2.662,11.21,5831,1670,4161,2.985,10.423,440,0.787,20.847,45,45,385
1978,3254,915,1131,151964,150317,83,7.281,101,8.86,11790,1331,10459,0.885,7.843,8391,2643,5748,1.758,5.582,3399,2.261,11.164,62,62,1167
1978,3255,1614,2072,78935,78047,136,6.562,137,6.61,8581,1567,7014,2.008,10.995,6762,2150,4612,2.755,8.664,1819,2.331,17.328,84,85,692
